p,l,d,W
5E-02,2E+00,3.5E+01,1.09575E+00
5E-02,2E+00,4E+01,1.12243E+00
5E-02,2E+00,4.5E+01,1.14558E+00
5E-02,2E+00,5E+01,1.16542E+00
5E-02,2E+00,6E+01,1.19672E+00
5E-02,2E+00,7E+01,1.22073E+00
5E-02,2E+00,8E+01,1.24035E+00
5E-02,2E+00,9E+01,1.25749E+00
5E-02,2E+00,1E+02,1.27345E+00
5E-02,2E+00,1.2E+02,1.30238E+00
5E-02,2E+00,1.4E+02,1.32373E+00
5E-02,2E+00,1.6E+02,1.33918E+00
5E-02,2E+00,1.8E+02,1.35101E+00
5E-02,2E+00,2E+02,1.3604E+00
5E-02,2E+00,3E+02,1.38948E+00
5E-02,2E+00,4E+02,1.4053E+00
5E-02,2E+00,5E+02,1.41455E+00
5E-02,2E+00,1E+03,1.42428E+00
5E-02,2.5E+00,0E+00,4.37616E-01
5E-02,2.5E+00,1E-05,4.37617E-01
5E-02,2.5E+00,1E-04,4.37623E-01
5E-02,2.5E+00,1E-03,4.3768E-01
5E-02,2.5E+00,1E-02,4.38253E-01
5E-02,2.5E+00,1E-01,4.43888E-01
5E-02,2.5E+00,2E-01,4.49633E-01
5E-02,2.5E+00,3E-01,4.55176E-01
5E-02,2.5E+00,4E-01,4.60553E-01
5E-02,2.5E+00,5E-01,4.65809E-01
5E-02,2.5E+00,6E-01,4.70988E-01
5E-02,2.5E+00,7E-01,4.76112E-01
5E-02,2.5E+00,8E-01,4.81189E-01
5E-02,2.5E+00,9E-01,4.86223E-01
5E-02,2.5E+00,1E+00,4.91215E-01
5E-02,2.5E+00,2E+00,5.36663E-01
5E-02,2.5E+00,3E+00,5.77178E-01
5E-02,2.5E+00,4E+00,6.14054E-01
5E-02,2.5E+00,5E+00,6.47649E-01
5E-02,2.5E+00,6E+00,6.78305E-01
5E-02,2.5E+00,7E+00,7.06515E-01
5E-02,2.5E+00,8E+00,7.32609E-01
5E-02,2.5E+00,9E+00,7.56786E-01
5E-02,2.5E+00,1E+01,7.79197E-01
5E-02,2.5E+00,1.2E+01,8.183E-01
5E-02,2.5E+00,1.4E+01,8.49643E-01
5E-02,2.5E+00,1.6E+01,8.75591E-01
5E-02,2.5E+00,1.8E+01,8.98095E-01
5E-02,2.5E+00,2E+01,9.18355E-01
5E-02,2.5E+00,2.5E+01,9.63427E-01
5E-02,2.5E+00,3E+01,1.0025E+00
5E-02,2.5E+00,3.5E+01,1.03677E+00
5E-02,2.5E+00,4E+01,1.06664E+00
5E-02,2.5E+00,4.5E+01,1.09264E+00
5E-02,2.5E+00,5E+01,1.11498E+00
5E-02,2.5E+00,6E+01,1.15029E+00
5E-02,2.5E+00,7E+01,1.17741E+00
5E-02,2.5E+00,8E+01,1.19956E+00
5E-02,2.5E+00,9E+01,1.21885E+00
5E-02,2.5E+00,1E+02,1.23939E+00
5E-02,2.5E+00,1.2E+02,1.27074E+00
5E-02,2.5E+00,1.4E+02,1.29377E+00
5E-02,2.5E+00,1.6E+02,1.31044E+00
5E-02,2.5E+00,1.8E+02,1.32322E+00
5E-02,2.5E+00,2E+02,1.33341E+00
5E-02,2.5E+00,3E+02,1.36525E+00
5E-02,2.5E+00,4E+02,1.38271E+00
5E-02,2.5E+00,5E+02,1.39292E+00
5E-02,2.5E+00,1E+03,1.40295E+00
5E-02,3E+00,0E+00,3.97014E-01
5E-02,3E+00,1E-05,3.97015E-01
5E-02,3E+00,1E-04,3.9702E-01
5E-02,3E+00,1E-03,3.97069E-01
5E-02,3E+00,1E-02,3.97564E-01
5E-02,3E+00,1E-01,4.02422E-01
5E-02,3E+00,2E-01,4.07282E-01
5E-02,3E+00,3E-01,4.1195E-01
5E-02,3E+00,4E-01,4.1648E-01
5E-02,3E+00,5E-01,4.20928E-01
5E-02,3E+00,6E-01,4.25348E-01
5E-02,3E+00,7E-01,4.29756E-01
5E-02,3E+00,8E-01,4.34152E-01
5E-02,3E+00,9E-01,4.38533E-01
5E-02,3E+00,1E+00,4.42895E-01
5E-02,3E+00,2E+00,4.83285E-01
5E-02,3E+00,3E+00,5.19983E-01
5E-02,3E+00,4E+00,5.54009E-01
5E-02,3E+00,5E+00,5.85659E-01
5E-02,3E+00,6E+00,6.15171E-01
5E-02,3E+00,7E+00,6.42831E-01
5E-02,3E+00,8E+00,6.68796E-01
5E-02,3E+00,9E+00,6.93129E-01
5E-02,3E+00,1E+01,7.15865E-01
5E-02,3E+00,1.2E+01,7.55836E-01
5E-02,3E+00,1.4E+01,7.88195E-01
5E-02,3E+00,1.6E+01,8.15222E-01
5E-02,3E+00,1.8E+01,8.38831E-01
5E-02,3E+00,2E+01,8.602E-01
5E-02,3E+00,2.5E+01,9.08038E-01
5E-02,3E+00,3E+01,9.49712E-01
5E-02,3E+00,3.5E+01,9.86376E-01
5E-02,3E+00,4E+01,1.01842E+00
5E-02,3E+00,4.5E+01,1.0464E+00
5E-02,3E+00,5E+01,1.07049E+00
5E-02,3E+00,6E+01,1.10875E+00
5E-02,3E+00,7E+01,1.13827E+00
5E-02,3E+00,8E+01,1.16245E+00
5E-02,3E+00,9E+01,1.18349E+00
5E-02,3E+00,1E+02,1.20732E+00
5E-02,3E+00,1.2E+02,1.24081E+00
5E-02,3E+00,1.4E+02,1.26529E+00
5E-02,3E+00,1.6E+02,1.28303E+00
5E-02,3E+00,1.8E+02,1.29666E+00
5E-02,3E+00,2E+02,1.30757E+00
5E-02,3E+00,3E+02,1.34202E+00
5E-02,3E+00,4E+02,1.3611E+00
5E-02,3E+00,5E+02,1.37225E+00
5E-02,3E+00,1E+03,1.3823E+00
5E-02,3.5E+00,0E+00,3.64468E-01
5E-02,3.5E+00,1E-05,3.64469E-01
5E-02,3.5E+00,1E-04,3.64473E-01
5E-02,3.5E+00,1E-03,3.64515E-01
5E-02,3.5E+00,1E-02,3.64932E-01
5E-02,3.5E+00,1E-01,3.69028E-01
5E-02,3.5E+00,2E-01,3.73164E-01
5E-02,3.5E+00,3E-01,3.77157E-01
5E-02,3.5E+00,4E-01,3.81052E-01
5E-02,3.5E+00,5E-01,3.84895E-01
5E-02,3.5E+00,6E-01,3.88728E-01
5E-02,3.5E+00,7E-01,3.92566E-01
5E-02,3.5E+00,8E-01,3.96406E-01
5E-02,3.5E+00,9E-01,4.00247E-01
5E-02,3.5E+00,1E+00,4.04084E-01
5E-02,3.5E+00,2E+00,4.40433E-01
5E-02,3.5E+00,3E+00,4.7416E-01
5E-02,3.5E+00,4E+00,5.05844E-01
5E-02,3.5E+00,5E+00,5.35717E-01
5E-02,3.5E+00,6E+00,5.63966E-01
5E-02,3.5E+00,7E+00,5.90782E-01
5E-02,3.5E+00,8E+00,6.16243E-01
5E-02,3.5E+00,9E+00,6.40353E-01
5E-02,3.5E+00,1E+01,6.63093E-01
5E-02,3.5E+00,1.2E+01,7.03567E-01
5E-02,3.5E+00,1.4E+01,7.3676E-01
5E-02,3.5E+00,1.6E+01,7.64741E-01
5E-02,3.5E+00,1.8E+01,7.89342E-01
5E-02,3.5E+00,2E+01,8.11677E-01
5E-02,3.5E+00,2.5E+01,8.61363E-01
5E-02,3.5E+00,3E+01,9.04679E-01
5E-02,3.5E+00,3.5E+01,9.42839E-01
5E-02,3.5E+00,4E+01,9.76256E-01
5E-02,3.5E+00,4.5E+01,1.0055E+00
5E-02,3.5E+00,5E+01,1.03076E+00
5E-02,3.5E+00,6E+01,1.07111E+00
5E-02,3.5E+00,7E+01,1.10247E+00
5E-02,3.5E+00,8E+01,1.12827E+00
5E-02,3.5E+00,9E+01,1.15076E+00
5E-02,3.5E+00,1E+02,1.17622E+00
5E-02,3.5E+00,1.2E+02,1.2117E+00
5E-02,3.5E+00,1.4E+02,1.23753E+00
5E-02,3.5E+00,1.6E+02,1.25625E+00
5E-02,3.5E+00,1.8E+02,1.27068E+00
5E-02,3.5E+00,2E+02,1.28227E+00
5E-02,3.5E+00,3E+02,1.31928E+00
5E-02,3.5E+00,4E+02,1.33996E+00
5E-02,3.5E+00,5E+02,1.35203E+00
5E-02,3.5E+00,1E+03,1.36197E+00
5E-02,4E+00,0E+00,3.37965E-01
5E-02,4E+00,1E-05,3.37965E-01
5E-02,4E+00,1E-04,3.37968E-01
5E-02,4E+00,1E-03,3.38002E-01
5E-02,4E+00,1E-02,3.3834E-01
5E-02,4E+00,1E-01,3.41686E-01
5E-02,4E+00,2E-01,3.4522E-01
5E-02,4E+00,3E-01,3.48688E-01
5E-02,4E+00,4E-01,3.52106E-01
5E-02,4E+00,5E-01,3.55494E-01
5E-02,4E+00,6E-01,3.58872E-01
5E-02,4E+00,7E-01,3.62248E-01
5E-02,4E+00,8E-01,3.65628E-01
5E-02,4E+00,9E-01,3.69013E-01
5E-02,4E+00,1E+00,3.72404E-01
5E-02,4E+00,2E+00,4.05472E-01
5E-02,4E+00,3E+00,4.36865E-01
5E-02,4E+00,4E+00,4.66587E-01
5E-02,4E+00,5E+00,4.94812E-01
5E-02,4E+00,6E+00,5.21709E-01
5E-02,4E+00,7E+00,5.47461E-01
5E-02,4E+00,8E+00,5.72138E-01
5E-02,4E+00,9E+00,5.95739E-01
5E-02,4E+00,1E+01,6.18243E-01
5E-02,4E+00,1.2E+01,6.58943E-01
5E-02,4E+00,1.4E+01,6.92832E-01
5E-02,4E+00,1.6E+01,7.21674E-01
5E-02,4E+00,1.8E+01,7.47178E-01
5E-02,4E+00,2E+01,7.7037E-01
5E-02,4E+00,2.5E+01,8.21217E-01
5E-02,4E+00,3E+01,8.65457E-01
5E-02,4E+00,3.5E+01,9.04437E-01
5E-02,4E+00,4E+01,9.38618E-01
5E-02,4E+00,4.5E+01,9.68601E-01
5E-02,4E+00,5E+01,9.94595E-01
5E-02,4E+00,6E+01,1.0364E+00
5E-02,4E+00,7E+01,1.06916E+00
5E-02,4E+00,8E+01,1.09628E+00
5E-02,4E+00,9E+01,1.11998E+00
5E-02,4E+00,1E+02,1.14566E+00
5E-02,4E+00,1.2E+02,1.18304E+00
5E-02,4E+00,1.4E+02,1.21016E+00
5E-02,4E+00,1.6E+02,1.22982E+00
5E-02,4E+00,1.8E+02,1.24502E+00
5E-02,4E+00,2E+02,1.25728E+00
5E-02,4E+00,3E+02,1.29679E+00
5E-02,4E+00,4E+02,1.31907E+00
5E-02,4E+00,5E+02,1.33205E+00
5E-02,4E+00,1E+03,1.34181E+00
5E-02,4.5E+00,0E+00,3.15491E-01
5E-02,4.5E+00,1E-05,3.15491E-01
5E-02,4.5E+00,1E-04,3.15494E-01
5E-02,4.5E+00,1E-03,3.1552E-01
5E-02,4.5E+00,1E-02,3.15778E-01
5E-02,4.5E+00,1E-01,3.18379E-01
5E-02,4.5E+00,2E-01,3.21392E-01
5E-02,4.5E+00,3E-01,3.24433E-01
5E-02,4.5E+00,4E-01,3.27481E-01
5E-02,4.5E+00,5E-01,3.30516E-01
5E-02,4.5E+00,6E-01,3.33523E-01
5E-02,4.5E+00,7E-01,3.36512E-01
5E-02,4.5E+00,8E-01,3.39493E-01
5E-02,4.5E+00,9E-01,3.42478E-01
5E-02,4.5E+00,1E+00,3.45475E-01
5E-02,4.5E+00,2E+00,3.75772E-01
5E-02,4.5E+00,3E+00,4.05256E-01
5E-02,4.5E+00,4E+00,4.33267E-01
5E-02,4.5E+00,5E+00,4.59925E-01
5E-02,4.5E+00,6E+00,4.85407E-01
5E-02,4.5E+00,7E+00,5.09946E-01
5E-02,4.5E+00,8E+00,5.33651E-01
5E-02,4.5E+00,9E+00,5.56553E-01
5E-02,4.5E+00,1E+01,5.7866E-01
5E-02,4.5E+00,1.2E+01,6.19405E-01
5E-02,4.5E+00,1.4E+01,6.53902E-01
5E-02,4.5E+00,1.6E+01,6.83544E-01
5E-02,4.5E+00,1.8E+01,7.09896E-01
5E-02,4.5E+00,2E+01,7.33874E-01
5E-02,4.5E+00,2.5E+01,7.85419E-01
5E-02,4.5E+00,3E+01,8.30103E-01
5E-02,4.5E+00,3.5E+01,8.6945E-01
5E-02,4.5E+00,4E+01,9.03989E-01
5E-02,4.5E+00,4.5E+01,9.34359E-01
5E-02,4.5E+00,5E+01,9.6079E-01
5E-02,4.5E+00,6E+01,1.00361E+00
5E-02,4.5E+00,7E+01,1.03749E+00
5E-02,4.5E+00,8E+01,1.06573E+00
5E-02,4.5E+00,9E+01,1.09048E+00
5E-02,4.5E+00,1E+02,1.11538E+00
5E-02,4.5E+00,1.2E+02,1.15462E+00
5E-02,4.5E+00,1.4E+02,1.18297E+00
5E-02,4.5E+00,1.6E+02,1.20355E+00
5E-02,4.5E+00,1.8E+02,1.21949E+00
5E-02,4.5E+00,2E+02,1.2324E+00
5E-02,4.5E+00,3E+02,1.2744E+00
5E-02,4.5E+00,4E+02,1.29828E+00
5E-02,4.5E+00,5E+02,1.31218E+00
5E-02,4.5E+00,1E+03,1.32172E+00
5E-02,5E+00,0E+00,2.95014E-01
5E-02,5E+00,1E-05,2.95014E-01
5E-02,5E+00,1E-04,2.95016E-01
5E-02,5E+00,1E-03,2.95033E-01
5E-02,5E+00,1E-02,2.95211E-01
5E-02,5E+00,1E-01,2.97065E-01
5E-02,5E+00,2E-01,2.99595E-01
5E-02,5E+00,3E-01,3.02262E-01
5E-02,5E+00,4E-01,3.04996E-01
5E-02,5E+00,5E-01,3.0773E-01
5E-02,5E+00,6E-01,3.1041E-01
5E-02,5E+00,7E-01,3.13047E-01
5E-02,5E+00,8E-01,3.1566E-01
5E-02,5E+00,9E-01,3.18271E-01
5E-02,5E+00,1E+00,3.209E-01
5E-02,5E+00,2E+00,3.48686E-01
5E-02,5E+00,3E+00,3.76473E-01
5E-02,5E+00,4E+00,4.02893E-01
5E-02,5E+00,5E+00,4.28014E-01
5E-02,5E+00,6E+00,4.52042E-01
5E-02,5E+00,7E+00,4.75285E-01
5E-02,5E+00,8E+00,4.97919E-01
5E-02,5E+00,9E+00,5.20026E-01
5E-02,5E+00,1E+01,5.41657E-01
5E-02,5E+00,1.2E+01,5.82368E-01
5E-02,5E+00,1.4E+01,6.17439E-01
5E-02,5E+00,1.6E+01,6.47859E-01
5E-02,5E+00,1.8E+01,6.75035E-01
5E-02,5E+00,2E+01,6.99768E-01
5E-02,5E+00,2.5E+01,7.51762E-01
5E-02,5E+00,3E+01,7.96626E-01
5E-02,5E+00,3.5E+01,8.36087E-01
5E-02,5E+00,4E+01,8.70759E-01
5E-02,5E+00,4.5E+01,9.01321E-01
5E-02,5E+00,5E+01,9.28025E-01
5E-02,5E+00,6E+01,9.71636E-01
5E-02,5E+00,7E+01,1.00648E+00
5E-02,5E+00,8E+01,1.03573E+00
5E-02,5E+00,9E+01,1.06145E+00
5E-02,5E+00,1E+02,1.08505E+00
5E-02,5E+00,1.2E+02,1.12612E+00
5E-02,5E+00,1.4E+02,1.1557E+00
5E-02,5E+00,1.6E+02,1.17717E+00
5E-02,5E+00,1.8E+02,1.19385E+00
5E-02,5E+00,2E+02,1.20741E+00
5E-02,5E+00,3E+02,1.25187E+00
5E-02,5E+00,4E+02,1.27733E+00
5E-02,5E+00,5E+02,1.29215E+00
5E-02,5E+00,1E+03,1.30145E+00
1E-01,0E+00,0E+00,9E-01
1E-01,0E+00,1E-05,9.00002E-01
1E-01,0E+00,1E-04,9.0002E-01
1E-01,0E+00,1E-03,9.00201E-01
1E-01,0E+00,1E-02,9.02008E-01
1E-01,0E+00,1E-01,9.19761E-01
1E-01,0E+00,2E-01,9.37935E-01
1E-01,0E+00,3E-01,9.55267E-01
1E-01,0E+00,4E-01,9.71698E-01
1E-01,0E+00,5E-01,9.87239E-01
1E-01,0E+00,6E-01,1.00199E+00
1E-01,0E+00,7E-01,1.01615E+00
1E-01,0E+00,8E-01,1.02991E+00
1E-01,0E+00,9E-01,1.04339E+00
1E-01,0E+00,1E+00,1.05669E+00
1E-01,0E+00,2E+00,1.16385E+00
1E-01,0E+00,3E+00,1.24012E+00
1E-01,0E+00,4E+00,1.29758E+00
1E-01,0E+00,5E+00,1.34065E+00
1E-01,0E+00,6E+00,1.37299E+00
1E-01,0E+00,7E+00,1.39785E+00
1E-01,0E+00,8E+00,1.41735E+00
1E-01,0E+00,9E+00,1.43304E+00
1E-01,0E+00,1E+01,1.44619E+00
1E-01,0E+00,1.2E+01,1.46726E+00
1E-01,0E+00,1.4E+01,1.48183E+00
1E-01,0E+00,1.6E+01,1.49197E+00
1E-01,0E+00,1.8E+01,1.49931E+00
1E-01,0E+00,2E+01,1.5049E+00
1E-01,0E+00,2.5E+01,1.51385E+00
1E-01,0E+00,3E+01,1.51976E+00
1E-01,0E+00,3.5E+01,1.52407E+00
1E-01,0E+00,4E+01,1.52735E+00
1E-01,0E+00,4.5E+01,1.52994E+00
1E-01,0E+00,5E+01,1.53204E+00
1E-01,0E+00,6E+01,1.53521E+00
1E-01,0E+00,7E+01,1.53751E+00
1E-01,0E+00,8E+01,1.53928E+00
1E-01,0E+00,9E+01,1.54072E+00
1E-01,0E+00,1E+02,1.54199E+00
1E-01,0E+00,1.2E+02,1.54415E+00
1E-01,0E+00,1.4E+02,1.54552E+00
1E-01,0E+00,1.6E+02,1.54633E+00
1E-01,0E+00,1.8E+02,1.54679E+00
1E-01,0E+00,2E+02,1.54704E+00
1E-01,0E+00,3E+02,1.54682E+00
1E-01,0E+00,4E+02,1.54595E+00
1E-01,0E+00,5E+02,1.54505E+00
1E-01,0E+00,1E+03,1.54173E+00
1E-01,2.5E-02,0E+00,8.87404E-01
1E-01,2.5E-02,1E-05,8.87405E-01
1E-01,2.5E-02,1E-04,8.87423E-01
1E-01,2.5E-02,1E-03,8.87601E-01
1E-01,2.5E-02,1E-02,8.89381E-01
1E-01,2.5E-02,1E-01,9.06865E-01
1E-01,2.5E-02,2E-01,9.24752E-01
1E-01,2.5E-02,3E-01,9.41814E-01
1E-01,2.5E-02,4E-01,9.58001E-01
1E-01,2.5E-02,5E-01,9.73325E-01
1E-01,2.5E-02,6E-01,9.87882E-01
1E-01,2.5E-02,7E-01,1.00186E+00
1E-01,2.5E-02,8E-01,1.01543E+00
1E-01,2.5E-02,9E-01,1.02871E+00
1E-01,2.5E-02,1E+00,1.04179E+00
1E-01,2.5E-02,2E+00,1.14766E+00
1E-01,2.5E-02,3E+00,1.2244E+00
1E-01,2.5E-02,4E+00,1.28284E+00
1E-01,2.5E-02,5E+00,1.32687E+00
1E-01,2.5E-02,6E+00,1.3598E+00
1E-01,2.5E-02,7E+00,1.38491E+00
1E-01,2.5E-02,8E+00,1.40443E+00
1E-01,2.5E-02,9E+00,1.42004E+00
1E-01,2.5E-02,1E+01,1.43311E+00
1E-01,2.5E-02,1.2E+01,1.45422E+00
1E-01,2.5E-02,1.4E+01,1.46908E+00
1E-01,2.5E-02,1.6E+01,1.47966E+00
1E-01,2.5E-02,1.8E+01,1.48751E+00
1E-01,2.5E-02,2E+01,1.49362E+00
1E-01,2.5E-02,2.5E+01,1.50344E+00
1E-01,2.5E-02,3E+01,1.51013E+00
1E-01,2.5E-02,3.5E+01,1.5151E+00
1E-01,2.5E-02,4E+01,1.51894E+00
1E-01,2.5E-02,4.5E+01,1.52199E+00
1E-01,2.5E-02,5E+01,1.52444E+00
1E-01,2.5E-02,6E+01,1.52807E+00
1E-01,2.5E-02,7E+01,1.53061E+00
1E-01,2.5E-02,8E+01,1.53251E+00
1E-01,2.5E-02,9E+01,1.53405E+00
1E-01,2.5E-02,1E+02,1.53319E+00
1E-01,2.5E-02,1.2E+02,1.53505E+00
1E-01,2.5E-02,1.4E+02,1.5364E+00
1E-01,2.5E-02,1.6E+02,1.5373E+00
1E-01,2.5E-02,1.8E+02,1.53792E+00
1E-01,2.5E-02,2E+02,1.53834E+00
1E-01,2.5E-02,3E+02,1.53902E+00
1E-01,2.5E-02,4E+02,1.5388E+00
1E-01,2.5E-02,5E+02,1.53822E+00
1E-01,2.5E-02,1E+03,1.53388E+00
1E-01,5E-02,0E+00,8.74942E-01
1E-01,5E-02,1E-05,8.74944E-01
1E-01,5E-02,1E-04,8.74962E-01
1E-01,5E-02,1E-03,8.75137E-01
1E-01,5E-02,1E-02,8.7689E-01
1E-01,5E-02,1E-01,8.94107E-01
1E-01,5E-02,2E-01,9.11709E-01
1E-01,5E-02,3E-01,9.28505E-01
1E-01,5E-02,4E-01,9.44449E-01
1E-01,5E-02,5E-01,9.59559E-01
1E-01,5E-02,6E-01,9.73926E-01
1E-01,5E-02,7E-01,9.87728E-01
1E-01,5E-02,8E-01,1.00111E+00
1E-01,5E-02,9E-01,1.01419E+00
1E-01,5E-02,1E+00,1.02705E+00
1E-01,5E-02,2E+00,1.13164E+00
1E-01,5E-02,3E+00,1.20879E+00
1E-01,5E-02,4E+00,1.26817E+00
1E-01,5E-02,5E+00,1.31311E+00
1E-01,5E-02,6E+00,1.3466E+00
1E-01,5E-02,7E+00,1.37194E+00
1E-01,5E-02,8E+00,1.39151E+00
1E-01,5E-02,9E+00,1.40705E+00
1E-01,5E-02,1E+01,1.42004E+00
1E-01,5E-02,1.2E+01,1.44122E+00
1E-01,5E-02,1.4E+01,1.45637E+00
1E-01,5E-02,1.6E+01,1.46738E+00
1E-01,5E-02,1.8E+01,1.47574E+00
1E-01,5E-02,2E+01,1.48236E+00
1E-01,5E-02,2.5E+01,1.49305E+00
1E-01,5E-02,3E+01,1.5005E+00
1E-01,5E-02,3.5E+01,1.50614E+00
1E-01,5E-02,4E+01,1.51053E+00
1E-01,5E-02,4.5E+01,1.51404E+00
1E-01,5E-02,5E+01,1.51685E+00
1E-01,5E-02,6E+01,1.52095E+00
1E-01,5E-02,7E+01,1.52375E+00
1E-01,5E-02,8E+01,1.5258E+00
1E-01,5E-02,9E+01,1.52744E+00
1E-01,5E-02,1E+02,1.5271E+00
1E-01,5E-02,1.2E+02,1.52934E+00
1E-01,5E-02,1.4E+02,1.53102E+00
1E-01,5E-02,1.6E+02,1.53219E+00
1E-01,5E-02,1.8E+02,1.53302E+00
1E-01,5E-02,2E+02,1.53362E+00
1E-01,5E-02,3E+02,1.53493E+00
1E-01,5E-02,4E+02,1.53508E+00
1E-01,5E-02,5E+02,1.53475E+00
1E-01,5E-02,1E+03,1.53072E+00
1E-01,7.5E-02,0E+00,8.62751E-01
1E-01,7.5E-02,1E-05,8.62753E-01
1E-01,7.5E-02,1E-04,8.6277E-01
1E-01,7.5E-02,1E-03,8.62943E-01
1E-01,7.5E-02,1E-02,8.64669E-01
1E-01,7.5E-02,1E-01,8.81625E-01
1E-01,7.5E-02,2E-01,8.98948E-01
1E-01,7.5E-02,3E-01,9.15483E-01
1E-01,7.5E-02,4E-01,9.31189E-01
1E-01,7.5E-02,5E-01,9.46087E-01
1E-01,7.5E-02,6E-01,9.60265E-01
1E-01,7.5E-02,7E-01,9.7389E-01
1E-01,7.5E-02,8E-01,9.87092E-01
1E-01,7.5E-02,9E-01,9.99977E-01
1E-01,7.5E-02,1E+00,1.01262E+00
1E-01,7.5E-02,2E+00,1.11596E+00
1E-01,7.5E-02,3E+00,1.19344E+00
1E-01,7.5E-02,4E+00,1.25364E+00
1E-01,7.5E-02,5E+00,1.29939E+00
1E-01,7.5E-02,6E+00,1.33338E+00
1E-01,7.5E-02,7E+00,1.35895E+00
1E-01,7.5E-02,8E+00,1.37856E+00
1E-01,7.5E-02,9E+00,1.39406E+00
1E-01,7.5E-02,1E+01,1.40701E+00
1E-01,7.5E-02,1.2E+01,1.42828E+00
1E-01,7.5E-02,1.4E+01,1.44373E+00
1E-01,7.5E-02,1.6E+01,1.45517E+00
1E-01,7.5E-02,1.8E+01,1.46401E+00
1E-01,7.5E-02,2E+01,1.47112E+00
1E-01,7.5E-02,2.5E+01,1.48267E+00
1E-01,7.5E-02,3E+01,1.4909E+00
1E-01,7.5E-02,3.5E+01,1.4972E+00
1E-01,7.5E-02,4E+01,1.50215E+00
1E-01,7.5E-02,4.5E+01,1.50613E+00
1E-01,7.5E-02,5E+01,1.50931E+00
1E-01,7.5E-02,6E+01,1.51389E+00
1E-01,7.5E-02,7E+01,1.51697E+00
1E-01,7.5E-02,8E+01,1.51919E+00
1E-01,7.5E-02,9E+01,1.52096E+00
1E-01,7.5E-02,1E+02,1.52163E+00
1E-01,7.5E-02,1.2E+02,1.5244E+00
1E-01,7.5E-02,1.4E+02,1.52649E+00
1E-01,7.5E-02,1.6E+02,1.52797E+00
1E-01,7.5E-02,1.8E+02,1.52903E+00
1E-01,7.5E-02,2E+02,1.52982E+00
1E-01,7.5E-02,3E+02,1.53168E+00
1E-01,7.5E-02,4E+02,1.53215E+00
1E-01,7.5E-02,5E+02,1.53203E+00
1E-01,7.5E-02,1E+03,1.52863E+00
1E-01,1E-01,0E+00,8.50965E-01
1E-01,1E-01,1E-05,8.50967E-01
1E-01,1E-01,1E-04,8.50984E-01
1E-01,1E-01,1E-03,8.51154E-01
1E-01,1E-01,1E-02,8.52854E-01
1E-01,1E-01,1E-01,8.69556E-01
1E-01,1E-01,2E-01,8.8661E-01
1E-01,1E-01,3E-01,9.02891E-01
1E-01,1E-01,4E-01,9.18366E-01
1E-01,1E-01,5E-01,9.33056E-01
1E-01,1E-01,6E-01,9.47049E-01
1E-01,1E-01,7E-01,9.60498E-01
1E-01,1E-01,8E-01,9.73523E-01
1E-01,1E-01,9E-01,9.86221E-01
1E-01,1E-01,1E+00,9.98661E-01
1E-01,1E-01,2E+00,1.10078E+00
1E-01,1E-01,3E+00,1.17845E+00
1E-01,1E-01,4E+00,1.23929E+00
1E-01,1E-01,5E+00,1.28571E+00
1E-01,1E-01,6E+00,1.32014E+00
1E-01,1E-01,7E+00,1.34592E+00
1E-01,1E-01,8E+00,1.36559E+00
1E-01,1E-01,9E+00,1.38109E+00
1E-01,1E-01,1E+01,1.39402E+00
1E-01,1E-01,1.2E+01,1.41543E+00
1E-01,1E-01,1.4E+01,1.4312E+00
1E-01,1E-01,1.6E+01,1.44305E+00
1E-01,1E-01,1.8E+01,1.45235E+00
1E-01,1E-01,2E+01,1.45993E+00
1E-01,1E-01,2.5E+01,1.47234E+00
1E-01,1E-01,3E+01,1.48132E+00
1E-01,1E-01,3.5E+01,1.48829E+00
1E-01,1E-01,4E+01,1.49382E+00
1E-01,1E-01,4.5E+01,1.49826E+00
1E-01,1E-01,5E+01,1.50182E+00
1E-01,1E-01,6E+01,1.50692E+00
1E-01,1E-01,7E+01,1.51032E+00
1E-01,1E-01,8E+01,1.51274E+00
1E-01,1E-01,9E+01,1.51467E+00
1E-01,1E-01,1E+02,1.51643E+00
1E-01,1E-01,1.2E+02,1.5198E+00
1E-01,1E-01,1.4E+02,1.52234E+00
1E-01,1E-01,1.6E+02,1.52413E+00
1E-01,1E-01,1.8E+02,1.52544E+00
1E-01,1E-01,2E+02,1.52641E+00
1E-01,1E-01,3E+02,1.5288E+00
1E-01,1E-01,4E+02,1.52955E+00
1E-01,1E-01,5E+02,1.52965E+00
1E-01,1E-01,1E+03,1.52701E+00
1E-01,2E-01,0E+00,8.08838E-01
1E-01,2E-01,1E-05,8.0884E-01
1E-01,2E-01,1E-04,8.08856E-01
1E-01,2E-01,1E-03,8.09016E-01
1E-01,2E-01,1E-02,8.10622E-01
1E-01,2E-01,1E-01,8.26396E-01
1E-01,2E-01,2E-01,8.42484E-01
1E-01,2E-01,3E-01,8.57854E-01
1E-01,2E-01,4E-01,8.72484E-01
1E-01,2E-01,5E-01,8.86402E-01
1E-01,2E-01,6E-01,8.99688E-01
1E-01,2E-01,7E-01,9.12468E-01
1E-01,2E-01,8E-01,9.24838E-01
1E-01,2E-01,9E-01,9.36872E-01
1E-01,2E-01,1E+00,9.48629E-01
1E-01,2E-01,2E+00,1.04634E+00
1E-01,2E-01,3E+00,1.12313E+00
1E-01,2E-01,4E+00,1.18448E+00
1E-01,2E-01,5E+00,1.23186E+00
