p,l,d,W
0E+00,5E-02,5E+00,1.34258E+00
0E+00,5E-02,6E+00,1.36979E+00
0E+00,5E-02,7E+00,1.39093E+00
0E+00,5E-02,8E+00,1.40774E+00
0E+00,5E-02,9E+00,1.42146E+00
0E+00,5E-02,1E+01,1.43309E+00
0E+00,5E-02,1.2E+01,1.4519E+00
0E+00,5E-02,1.4E+01,1.46511E+00
0E+00,5E-02,1.6E+01,1.47446E+00
0E+00,5E-02,1.8E+01,1.48135E+00
0E+00,5E-02,2E+01,1.4867E+00
0E+00,5E-02,2.5E+01,1.49599E+00
0E+00,5E-02,3E+01,1.50245E+00
0E+00,5E-02,3.5E+01,1.50725E+00
0E+00,5E-02,4E+01,1.5109E+00
0E+00,5E-02,4.5E+01,1.51369E+00
0E+00,5E-02,5E+01,1.51578E+00
0E+00,5E-02,6E+01,1.5184E+00
0E+00,5E-02,7E+01,1.51968E+00
0E+00,5E-02,8E+01,1.52019E+00
0E+00,5E-02,9E+01,1.52029E+00
0E+00,5E-02,1E+02,1.51859E+00
0E+00,5E-02,1.2E+02,1.51864E+00
0E+00,5E-02,1.4E+02,1.51884E+00
0E+00,5E-02,1.6E+02,1.51903E+00
0E+00,5E-02,1.8E+02,1.51919E+00
0E+00,5E-02,2E+02,1.51932E+00
0E+00,5E-02,3E+02,1.51962E+00
0E+00,5E-02,4E+02,1.51964E+00
0E+00,5E-02,5E+02,1.5195E+00
0E+00,5E-02,1E+03,1.51776E+00
0E+00,7.5E-02,0E+00,9.64514E-01
0E+00,7.5E-02,1E-05,9.64515E-01
0E+00,7.5E-02,1E-04,9.64527E-01
0E+00,7.5E-02,1E-03,9.64637E-01
0E+00,7.5E-02,1E-02,9.65743E-01
0E+00,7.5E-02,1E-01,9.76947E-01
0E+00,7.5E-02,2E-01,9.90543E-01
0E+00,7.5E-02,3E-01,1.00421E+00
0E+00,7.5E-02,4E-01,1.01762E+00
0E+00,7.5E-02,5E-01,1.03047E+00
0E+00,7.5E-02,6E-01,1.0426E+00
0E+00,7.5E-02,7E-01,1.05418E+00
0E+00,7.5E-02,8E-01,1.0654E+00
0E+00,7.5E-02,9E-01,1.07643E+00
0E+00,7.5E-02,1E+00,1.08741E+00
0E+00,7.5E-02,2E+00,1.17874E+00
0E+00,7.5E-02,3E+00,1.24371E+00
0E+00,7.5E-02,4E+00,1.29162E+00
0E+00,7.5E-02,5E+00,1.32713E+00
0E+00,7.5E-02,6E+00,1.35408E+00
0E+00,7.5E-02,7E+00,1.37525E+00
0E+00,7.5E-02,8E+00,1.39229E+00
0E+00,7.5E-02,9E+00,1.40636E+00
0E+00,7.5E-02,1E+01,1.41839E+00
0E+00,7.5E-02,1.2E+01,1.43791E+00
0E+00,7.5E-02,1.4E+01,1.45166E+00
0E+00,7.5E-02,1.6E+01,1.46141E+00
0E+00,7.5E-02,1.8E+01,1.46862E+00
0E+00,7.5E-02,2E+01,1.47424E+00
0E+00,7.5E-02,2.5E+01,1.4843E+00
0E+00,7.5E-02,3E+01,1.49142E+00
0E+00,7.5E-02,3.5E+01,1.49683E+00
0E+00,7.5E-02,4E+01,1.50102E+00
0E+00,7.5E-02,4.5E+01,1.50429E+00
0E+00,7.5E-02,5E+01,1.50681E+00
0E+00,7.5E-02,6E+01,1.51016E+00
0E+00,7.5E-02,7E+01,1.51205E+00
0E+00,7.5E-02,8E+01,1.51309E+00
0E+00,7.5E-02,9E+01,1.51366E+00
0E+00,7.5E-02,1E+02,1.51318E+00
0E+00,7.5E-02,1.2E+02,1.51387E+00
0E+00,7.5E-02,1.4E+02,1.51446E+00
0E+00,7.5E-02,1.6E+02,1.51492E+00
0E+00,7.5E-02,1.8E+02,1.51529E+00
0E+00,7.5E-02,2E+02,1.51559E+00
0E+00,7.5E-02,3E+02,1.51653E+00
0E+00,7.5E-02,4E+02,1.517E+00
0E+00,7.5E-02,5E+02,1.51719E+00
0E+00,7.5E-02,1E+03,1.5163E+00
0E+00,1E-01,0E+00,9.53E-01
0E+00,1E-01,1E-05,9.53001E-01
0E+00,1E-01,1E-04,9.53012E-01
0E+00,1E-01,1E-03,9.53118E-01
0E+00,1E-01,1E-02,9.54181E-01
0E+00,1E-01,1E-01,9.65E-01
0E+00,1E-01,2E-01,9.78416E-01
0E+00,1E-01,3E-01,9.91966E-01
0E+00,1E-01,4E-01,1.00527E+00
0E+00,1E-01,5E-01,1.018E+00
0E+00,1E-01,6E-01,1.02996E+00
0E+00,1E-01,7E-01,1.04133E+00
0E+00,1E-01,8E-01,1.05234E+00
0E+00,1E-01,9E-01,1.06318E+00
0E+00,1E-01,1E+00,1.074E+00
0E+00,1E-01,2E+00,1.165E+00
0E+00,1E-01,3E+00,1.22965E+00
0E+00,1E-01,4E+00,1.27699E+00
0E+00,1E-01,5E+00,1.312E+00
0E+00,1E-01,6E+00,1.33872E+00
0E+00,1E-01,7E+00,1.35993E+00
0E+00,1E-01,8E+00,1.3772E+00
0E+00,1E-01,9E+00,1.39161E+00
0E+00,1E-01,1E+01,1.404E+00
0E+00,1E-01,1.2E+01,1.42419E+00
0E+00,1E-01,1.4E+01,1.43845E+00
0E+00,1E-01,1.6E+01,1.44859E+00
0E+00,1E-01,1.8E+01,1.45611E+00
0E+00,1E-01,2E+01,1.462E+00
0E+00,1E-01,2.5E+01,1.4728E+00
0E+00,1E-01,3E+01,1.48059E+00
0E+00,1E-01,3.5E+01,1.48658E+00
0E+00,1E-01,4E+01,1.4913E+00
0E+00,1E-01,4.5E+01,1.49505E+00
0E+00,1E-01,5E+01,1.498E+00
0E+00,1E-01,6E+01,1.50209E+00
0E+00,1E-01,7E+01,1.5046E+00
0E+00,1E-01,8E+01,1.50618E+00
0E+00,1E-01,9E+01,1.50721E+00
0E+00,1E-01,1E+02,1.508E+00
0E+00,1E-01,1.2E+02,1.50932E+00
0E+00,1E-01,1.4E+02,1.51028E+00
0E+00,1E-01,1.6E+02,1.51098E+00
0E+00,1E-01,1.8E+02,1.51154E+00
0E+00,1E-01,2E+02,1.512E+00
0E+00,1E-01,3E+02,1.51357E+00
0E+00,1E-01,4E+02,1.51449E+00
0E+00,1E-01,5E+02,1.515E+00
0E+00,1E-01,1E+03,1.515E+00
0E+00,2E-01,0E+00,9.09525E-01
0E+00,2E-01,1E-05,9.09527E-01
0E+00,2E-01,1E-04,9.09536E-01
0E+00,2E-01,1E-03,9.09632E-01
0E+00,2E-01,1E-02,9.10595E-01
0E+00,2E-01,1E-01,9.20475E-01
0E+00,2E-01,2E-01,9.33231E-01
0E+00,2E-01,3E-01,9.46213E-01
0E+00,2E-01,4E-01,9.58977E-01
0E+00,2E-01,5E-01,9.71129E-01
0E+00,2E-01,6E-01,9.82437E-01
0E+00,2E-01,7E-01,9.93124E-01
0E+00,2E-01,8E-01,1.00346E+00
0E+00,2E-01,9E-01,1.01368E+00
0E+00,2E-01,1E+00,1.02397E+00
0E+00,2E-01,2E+00,1.11293E+00
0E+00,2E-01,3E+00,1.17607E+00
0E+00,2E-01,4E+00,1.22173E+00
0E+00,2E-01,5E+00,1.25547E+00
0E+00,2E-01,6E+00,1.28176E+00
0E+00,2E-01,7E+00,1.30326E+00
0E+00,2E-01,8E+00,1.32132E+00
0E+00,2E-01,9E+00,1.3368E+00
0E+00,2E-01,1E+01,1.35037E+00
0E+00,2E-01,1.2E+01,1.37272E+00
0E+00,2E-01,1.4E+01,1.38871E+00
0E+00,2E-01,1.6E+01,1.40025E+00
0E+00,2E-01,1.8E+01,1.40894E+00
0E+00,2E-01,2E+01,1.41589E+00
0E+00,2E-01,2.5E+01,1.4294E+00
0E+00,2E-01,3E+01,1.43962E+00
0E+00,2E-01,3.5E+01,1.44783E+00
0E+00,2E-01,4E+01,1.45457E+00
0E+00,2E-01,4.5E+01,1.46018E+00
0E+00,2E-01,5E+01,1.46484E+00
0E+00,2E-01,6E+01,1.47193E+00
0E+00,2E-01,7E+01,1.47702E+00
0E+00,2E-01,8E+01,1.48084E+00
0E+00,2E-01,9E+01,1.48382E+00
0E+00,2E-01,1E+02,1.48844E+00
0E+00,2E-01,1.2E+02,1.49217E+00
0E+00,2E-01,1.4E+02,1.4945E+00
0E+00,2E-01,1.6E+02,1.4961E+00
0E+00,2E-01,1.8E+02,1.49735E+00
0E+00,2E-01,2E+02,1.49841E+00
0E+00,2E-01,3E+02,1.50234E+00
0E+00,2E-01,4E+02,1.505E+00
0E+00,2E-01,5E+02,1.50681E+00
0E+00,2E-01,1E+03,1.5103E+00
0E+00,3E-01,0E+00,8.69964E-01
0E+00,3E-01,1E-05,8.69965E-01
0E+00,3E-01,1E-04,8.69975E-01
0E+00,3E-01,1E-03,8.70069E-01
0E+00,3E-01,1E-02,8.71016E-01
0E+00,3E-01,1E-01,8.80673E-01
0E+00,3E-01,2E-01,8.92846E-01
0E+00,3E-01,3E-01,9.05163E-01
0E+00,3E-01,4E-01,9.17239E-01
0E+00,3E-01,5E-01,9.28735E-01
0E+00,3E-01,6E-01,9.39464E-01
0E+00,3E-01,7E-01,9.49642E-01
0E+00,3E-01,8E-01,9.59522E-01
0E+00,3E-01,9E-01,9.69318E-01
0E+00,3E-01,1E+00,9.79214E-01
0E+00,3E-01,2E+00,1.06522E+00
0E+00,3E-01,3E+00,1.12659E+00
0E+00,3E-01,4E+00,1.17132E+00
0E+00,3E-01,5E+00,1.20475E+00
0E+00,3E-01,6E+00,1.23119E+00
0E+00,3E-01,7E+00,1.25315E+00
0E+00,3E-01,8E+00,1.27185E+00
0E+00,3E-01,9E+00,1.28809E+00
0E+00,3E-01,1E+01,1.30246E+00
0E+00,3E-01,1.2E+01,1.32632E+00
0E+00,3E-01,1.4E+01,1.34364E+00
0E+00,3E-01,1.6E+01,1.35636E+00
0E+00,3E-01,1.8E+01,1.36615E+00
0E+00,3E-01,2E+01,1.37411E+00
0E+00,3E-01,2.5E+01,1.38999E+00
0E+00,3E-01,3E+01,1.40236E+00
0E+00,3E-01,3.5E+01,1.41258E+00
